1,earth
2,police
3,boxing
4,painter
5,whale
6,medieval
7,funny
8,almodovar
9,finnish
10,brothers quay
11,satoshi kon
12,robots
13,time travel
15,dreamdontcatch
16,excellent characters
17,seriously scary
18,frightfully accurate political commentary
19,very moving
21,bill murray
22,bruce campbell
23,wes anderson
24,dystopia
25,tim allen
27,great movie
28,fav 06
29,overrated
31,watch again
34,satire
35,computers
36,cold war
37,not a war movie
38,ghosts/afterlife
39,inspiring
40,not seen it
41,sexy
42,gothic
43,no good
44,awsome
45,revolutionary
46,horrible
47,oddly moving
48,not at cml
49,comic book
50,nicholas cage
51,available at cml
52,horro
53,crime
54,serial killer
55,comedy
56,sam raimi
57,horror
58,hannibal lecter
59,johnny depp
60,fun
61,woody allen
62,vampire
64,surreal
66,strange
67,mystery
68,stupid as hell
69,drugs
70,spooky
71,easygoing
72,lynch
73,pacino
74,action
75,garbage
76,idiotic
77,masterpiece
78,bad acting
79,bad ending
80,ghosts
81,profoundly annoying
83,worst movie ever
85,awful
86,best movie ever
87,badly acted
88,terrible screenplay
89,existentialism
90,slow
91,cheap
92,complicated
93,nudity (topless)
94,dialogue<3
95,sexy ladies
96,superbad
97,edward norton
98,bunker
99,surrealism
100,gulf war
101,mildly funny
102,biopic
103,english literature
104,heist
105,television industry
106,abuse
107,midlife crisis
108,possibly homosexual
109,eric blair
110,espionage
111,childish
112,subversion
113,baseball
114,claymation
115,united nations
116,aliens killed by rain
117,animals
118,archaeology
119,vampires
120,stranding
121,berlin
122,world war 2
123,apple
124,maths
125,sequel
126,organised crime
127,tv show
128,timetravel
130,corruption
131,poor sequels
132,insincerity
133,inappropriate sound in space
134,survival
135,prequel
136,pirates
137,oscar (best directing)
138,god
139,george orwell
140,show me the money
141,empire
142,fascism
143,england
144,chase
145,space
146,fantasy
147,based on comic
148,aviation
149,cropcircles
150,life
151,thuggery
152,sappy
153,bugsy siegal
154,rome
155,aardman
156,mental illness
157,androids
158,reality television
159,las vegas
160,based on novel
161,violence
162,sharkattacks
163,atf
